Length of Pendulum (inches),Trial 1,Trial 2,Trial 3
21.50,14.53,14.45,14.45
19.00,13.26,13.25,13.31
17.00,13.30,12.90,12.68
15.00,12.15,12.25,12.02
13.00,11.43,11.45,11.35

Midpoint,Error +/-
1.45,0.00
1.33,0.00
1.30,0.03
1.21,0.01
1.14,0.01
