Mass (washers),Trial 1,Trial 2,Trial 3
2.0000,11.3800,11.2800,11.5600
4.0000,11.9300,11.3900,11.1500
6.0000,11.4000,11.0700,11.9400
8.0000,11.3600,11.4300,11.3200
10.0000,11.1100,11.0300,11.5500

Midrange,Error (+/-)
1.1400,0.0100
1.1500,0.0400
1.1500,0.0400
1.1400,0.0200
