Angle (Degrees),Trial 1,Trial 2,Trial 3
40.000000,10.39000,9.1600,9.960
50.000000,9.95000,9.9100,9.340
60.000000,9.62000,9.5700,9.320
70.000000,8.91000,9.7500,9.670
80.000000,9.53000,9.3100,9.640

Midpoint,Error +/-
0.977500,0.06000
0.964500,0.03000
0.947000,0.01000
0.933000,0.04000
0.947500,0.02000
